FLCSX,mg_average,PRCOX,HAIAX,DFUSX,VPMCX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
7254.718158391971,264053.8124681276,8822.18122253944,9068.115839144899,8244.941875768993,9095.616556276264,11484.394432623072,9224.955014081934,8257.085669428492,9119.563316255979,6942.081128249608,9478.152409392576,7993.017644141585
7199.177985610967,264053.8124681276,8666.563316445632,8857.41996453196,8125.586324751652,9094.494930828167,11756.205405100098,9307.041720378267,8143.974752905101,8872.676253756272,6841.698406941783,9144.417725416924,8159.298089555944
7044.302390707254,264053.8124681276,8481.220512362177,8598.098334373783,7969.502189417708,8939.688432993109,11534.19761494337,9285.041699662617,7974.309876357225,8864.939757349994,6718.1471308671225,9280.557777535609,7979.576355481284
7309.088586714241,264053.8124681276,8851.902665283955,8914.145517596711,8244.941875768993,9290.228021112525,11756.205405100098,9529.455300805368,8304.216466510916,9398.693780845333,6888.029712244615,9564.592394904614,8099.389383605159
6889.428476470867,264053.8124681276,8347.776066023745,8290.154801588675,7739.962861132418,8658.543359410372,11646.392924990956,9049.465206652738,7870.6236210131065,9234.583105744581,6501.928407327764,9076.790274073011,7596.173663478554
6824.479087666549,264053.8124681276,8288.466207472267,8209.115407521726,7684.87558242278,8529.000139525275,11603.811550330256,9100.816479111563,7814.068911870017,8985.2127651447,6463.3191474707055,8971.824890989834,7608.155780421084
6359.855244123231,264053.8124681276,7695.374532447747,7520.295488011115,7115.625661236022,7676.953464787288,11083.392666477668,8457.743368873229,7220.237349240817,8525.430410644143,5992.276310022156,8317.306627067439,7104.938807786566
5880.244890036038,264053.8124681276,7035.558042820162,7001.65559899828,6564.741020048496,7087.923438257765,10667.814905572048,8082.648853718319,6645.256607207375,7588.517235525305,5559.844183488376,7656.613795850853,6721.534863275923
5860.258814364832,264053.8124681276,7094.867901371641,7042.174814416965,6601.463677319522,7030.979377046761,10683.534115607576,8112.039653521331,6701.812814587676,7808.930646903749,5606.177907220725,7724.538557923139,6757.480587849558
5295.71803780409,264053.8124681276,6316.4345740120425,6272.315019224618,5866.950602882613,6342.295599990732,9672.290281095184,7257.23753035549,6042.001132517508,6911.532220448838,4972.971631725036,6983.575221423012,6134.4493345832525
5680.406402166044,264053.8124681276,6850.216966359273,6831.47797657445,6381.109952556635,6844.127670392983,10893.098238307975,7869.5596700185215,6541.572599219074,7251.476969032312,5420.849783893976,7440.5005491770025,6721.534863275923
5975.167720094941,264053.8124681276,7287.621630387361,7220.457532122984,6775.911116970838,7495.440777436807,11886.724745261223,8049.969915225909,6937.460807050944,7458.661329883653,5737.450261369352,7718.362860169903,7200.790733295161
5570.494120395444,264053.8124681276,6842.803737930253,6790.957797926186,6316.8403631276915,6879.880816819419,11168.697978274022,7654.954006548029,6456.740160945136,7004.447927659466,5374.51654384753,7421.97797775347,6529.834143528514
5429.362602715034,264053.8124681276,6723.242466529041,6564.053177593238,6151.5719413925835,6787.109655855731,11154.433584351907,7462.636970467957,6305.926104993018,6757.418886286619,5235.521176881323,7131.767097401707,6460.0080799285415
5409.308880183966,264053.8124681276,6611.685846348474,6458.702832212824,6059.7600297300605,6719.3088354997,11000.616820308282,7296.747925374694,6202.242097004717,6653.827043905885,5166.0227678693645,7014.447492664451,6387.014423818492
5444.4020542796725,264053.8124681276,6671.183439885415,6499.2230108610875,6096.482028440468,6857.244936210326,11080.170754543806,7393.312046433189,6268.221092767777,6621.954139066143,5189.189387892588,7113.243395519131,6435.676234971235
5820.397166899089,264053.8124681276,7236.411442297637,7001.65559899828,6621.806614859459,7404.6786818361925,11755.534682598905,7892.269672570314,6777.220591682341,7131.946984007027,5646.431215463013,7687.488328010378,7056.129826954133
