Portifolio 1,Portifolio 2,Portifolio 3,Portifolio 4,Portifolio 5,Portifolio 6,Portifolio 7,Portifolio 8,Portifolio 9,Portifolio 10,Portifolio 11,Portifolio 12
12110.389063164086,9499.310147641041,12067.715564335196,14235.298282398184,14475.004761421578,12183.832466260717,11007.170370112231,10449.177973829374,9639.666034097685,15965.046888170908,13047.117596594851,10429.708969321106
11642.58733104002,10497.12663741362,11520.315986640291,14148.137763260533,13975.946882478956,12250.301717391885,11117.569935505027,10951.459088578244,9752.927022576252,14775.393248567327,11280.863703598721,11019.184742020949
11511.000937952453,9870.696977313131,11395.954230359586,13985.891459479079,14735.312803424007,12109.267711654476,11466.211640458827,10461.208921182037,9663.926986498476,15357.14980273937,11668.117283303387,10884.523296840855
11260.120257491222,9827.432318699892,10830.261696356509,13684.07742348483,14353.379128915949,12159.408363459168,11090.506629152607,10056.395605381314,9445.860647927053,15198.128080051778,11143.37675449271,11047.251152992609
11723.351639074192,11450.580164957677,10813.308433784705,13076.969196239334,14984.313178282155,12096.259772076894,11748.332791586303,10224.068299457864,9488.192369086675,16162.341544863426,11511.22821752321,12444.492439391333
11568.290726926842,11634.231600209368,11599.26706000997,13063.439058123573,15367.575662929108,12836.739353337915,11713.306766381424,10498.656108282326,9522.724597465793,16671.87221524136,11348.653974838371,12491.190659677244
11419.724291264813,11553.631536107838,10700.911166073842,12493.853146522159,14562.9261725198,12408.55102888097,11305.927521101408,9980.77491310312,9758.455054250457,15576.201501123405,10379.205024135532,11840.994433514135
11620.791877690757,11759.640846970282,10550.178292864643,12286.227864463139,14071.961514180863,11663.739107770709,11879.857393878478,9629.330721456878,9656.701926390957,16187.401900039631,11010.258836932999,11976.820300791696
11696.117400128447,11340.804958414708,10866.715488373758,12046.334232975978,14477.514956358888,11455.737654872868,11227.064047020884,9159.219798676704,9318.917561591585,16283.357317068007,10817.741051914856,11425.464816303102
10833.8023095596,10842.46546472456,10306.33603716962,10341.913715370709,14597.889558066125,11018.408416081578,10232.833661202352,7227.165502075881,9162.376968738785,15849.7933152826,10808.517784908328,9851.441918754354
10665.997504675312,11607.364205060332,10996.645113892035,10819.453364455163,14067.500684465032,10861.712539507911,10350.760536296988,7302.739855059249,9305.107680021609,15507.730669453485,10935.447018974462,10067.22559957963
11074.308773460602,12909.262025377751,11641.984226030641,11129.619962652758,14404.098230358704,11460.211712443048,11476.96611992612,8122.072266353346,9307.00199436318,15384.676740001756,10984.437423060417,11392.68860790269
11619.467852691267,12923.351633781967,11747.65437959857,11309.633140879017,14733.75885695153,11994.653747510976,12248.465309297122,8071.160204156111,9825.857332678943,15672.867764029254,10696.962340264949,10924.862932395441
11751.997522320864,12501.009529914432,12267.272851018563,11595.772782223108,14603.787323506682,12266.037480430245,12769.759764116809,8057.773400697189,9956.763166207416,15401.357584204554,10430.720282236034,10859.823687822667
12236.497272392891,12366.771611784536,12411.186593131273,10932.892442191138,15513.850443286878,12443.98361379145,12706.76857545389,7594.225370491207,10528.83698881218,15507.579624831173,10666.925866099396,11255.981562449562
12338.867952540762,12722.443513409442,13434.174283934119,11437.066614959658,15994.162065872868,13229.581967788656,12986.249163575825,8010.533187949312,11122.073272791575,16390.411318315437,10738.840965444326,11580.295853027323
12715.291880276744,12016.389608173637,13259.955190485147,11816.096277017063,15667.9210647136,12523.519772661479,12703.962960608778,7658.211176074429,11111.07463290927,16529.317641921425,10148.272120639302,10986.791546367967
13017.636122517339,12417.424732583637,13713.850500104762,11514.322871381086,15514.391891384828,12811.942270849573,12839.27816023335,7656.216391756342,11342.350216796027,15456.577490794796,9858.732541861913,11236.91425429373
12865.205310581521,11797.67237662185,13254.116999479122,11798.96111802194,14994.134767921552,12042.383742055694,12473.029460374599,7318.794981608356,11357.77099160016,14844.36357166109,8784.321547909936,10821.597296257287
11933.458768881883,10403.719410542628,12353.0728959712,11379.893359528527,12955.736324098883,11160.7222493194,11258.266304668952,6501.971889900182,10302.525564564086,13457.489132404686,8357.919987742334,9230.279288046493
11886.702310685265,10217.220760594624,12090.929072755773,11394.937836532465,12842.773246033837,11642.841446614211,11352.850466916534,6775.695028350241,10538.2256595161,14488.290096877708,8710.489517900174,8845.2199600016
11706.603574684957,9393.46782356861,11480.33838113456,10799.659025326408,11728.067418640247,10275.747862188788,10415.079200005322,6064.493256839295,9548.806137757998,12867.819658319871,8382.042638835937,7454.583513133711
11771.035097310665,10786.902674048335,10739.590271070698,10189.545720560936,11903.457234273546,10453.705522248185,10647.136891098336,6449.64607446144,9856.573474717563,13779.594309897037,9129.71803095668,7985.123736626816
12520.207657744406,11321.943475363569,10694.50210441859,9999.40548273834,11609.45153221405,11181.296192257174,11521.872875594492,6789.44158195963,10152.668469129863,13268.684344675423,9360.913852379108,8787.863970749107
12293.085346371572,10126.933018513351,11092.380178004512,10681.593414783201,11439.586851999844,10429.221359282365,10873.241392798007,6522.809264055402,10010.246986512204,13002.634274922377,9049.177269821912,8149.165705819853
11994.218495156752,9370.708275784149,10287.729281258176,10117.751910182524,11061.949426669891,10208.569173117261,10548.82660697465,6479.126779450059,9690.637214738537,12333.556646236353,8924.396701164296,7611.691021075298
11198.449047094462,9276.425763280893,9322.034164594388,9418.324481166996,10758.49093753809,9999.33873152472,10384.365836829576,6374.5542275865755,9659.887476672046,11534.635506305107,8697.222412125186,7699.649532778556
11299.830055063256,9264.440575806975,9363.890666313388,9595.757680674018,11540.01768256578,9215.829318574242,10566.79740863816,6361.903779987303,9812.46380424021,11409.378062650816,9249.353077081638,7691.020622830837
12086.413319107367,10568.841814488329,10081.31462266645,10256.975542812434,12419.077738509768,10320.79783873681,11446.538233822359,6420.4043874116305,10295.552639675552,11999.441710991356,9505.34744450662,8487.998321199097
12851.17283606946,11078.623246719408,10630.598157858549,10568.926934913761,13123.177747267802,10823.610735296936,12069.197031259586,6914.907012595644,10630.394414859038,12961.39549244411,9602.184266856772,9013.151216641425
12894.074197119697,10757.954377235195,10721.45952188272,10367.510514208401,12816.295463511078,10454.596111350673,12109.533223073642,6626.995253377527,10431.112546125729,13504.96521164653,9764.859128497357,9391.463630728203
13249.345669400816,11341.74609799233,10994.888567188058,10930.192337513216,12965.290607059276,10133.130452120662,12325.212949343892,6865.654278516986,10382.141814232764,12299.375824300936,9446.856899698261,10135.832918211187
13504.72033774807,11989.320039567707,11125.510674760953,10790.185875880696,13215.548163981759,10190.529769111621,12777.968928411721,6944.240038065284,10717.294468181017,12515.148018081445,9136.024995487362,10346.604101633666
13684.173946218178,11639.443607947667,10590.821105728295,10825.550631244752,12807.943684695512,10117.583605599,12519.30845090929,6837.526182645993,10347.266365136706,12610.187940871901,9436.249653044199,9836.472485022941
14234.619998436241,12674.88640425007,10982.292999778976,11165.123410382177,13366.268532585298,10468.811078229553,12867.712102887053,7195.1549072437165,10884.058814143646,12912.65956783046,9204.917019126236,11019.235946127172
14460.931070686569,12768.367278705611,10769.810248388554,11153.03249565716,13861.35330885412,10479.54328358285,12561.721977982575,7407.496307004651,10901.552774086063,13087.890682867832,8980.819569900958,11482.745545322883
15238.159909484395,13077.262219065826,11577.918107498212,11826.181889071733,14805.059069034878,11048.676312199626,13429.6315569366,7571.394183416161,11579.690246735168,13783.473132197436,9732.291348624325,13072.488782181408
15131.880739178332,12881.913038666136,11355.730414479647,11578.884151113814,14588.87679155108,11007.053526358532,13237.755796132044,7995.087739731063,11888.127656140574,14514.723175826422,10008.502324638766,12310.571379947458
15497.78107161448,13456.585094780337,11257.657634707091,11807.321623247859,14873.169302946608,11306.506589382623,14083.189417520802,8101.424009048482,12260.178913303278,14761.201175067754,10085.291609359656,12869.34821716295
15754.625188662914,12766.755240530612,10872.504050679085,11724.328608662248,14989.756160127185,11258.223070657314,13898.283799897517,7714.230490551553,11976.483625342218,15168.23132647734,9632.439274961676,12549.398039738646
15917.496083751883,12410.941808262642,11060.467552692218,12188.975097741672,14751.677836385976,11169.293138094685,13785.028264861097,7810.186865760809,11891.70599613061,15385.396227287898,9770.0415766768,11905.489662737444
15790.676880399957,12428.585915648844,11069.909307556327,12277.367602561746,15072.83105713483,11393.326165506618,14147.827128166797,7705.001127739415,12361.640105541426,14920.574135011759,9894.218042668102,12030.403022505241
16052.173338967741,12372.374684968654,11201.391833396254,12934.749540481434,15543.019336313126,11646.00789127465,14368.312940206093,8050.474062319063,12401.07788202139,15285.402977038199,10007.759281790955,12463.400630221497
15688.353508590191,12136.499410865441,11370.747032994523,13074.44115769652,15052.671854990658,11100.508476630717,14285.426943649763,7679.143621337244,12568.213566398152,13069.335958197222,9907.339138853378,12149.292999680389
16241.215024154633,11950.703203001243,11424.44816926823,13253.059665370592,15266.587732710763,11237.157726375526,14325.890354597625,7913.234196432321,12897.21887329008,13277.371210751866,10202.119734370168,12318.861543436928
16521.10119207885,12346.452718204604,11658.595676198569,13340.704676197944,15764.985034038304,11368.149065978905,14529.654510332255,8112.29834487156,13073.556305087997,13365.953480857754,9551.421019914826,13193.362296331472
16796.42568012201,12570.014918593364,11876.372108799551,13858.751746484346,14993.209617523442,12034.731713126885,15333.540893681378,7844.075713097438,13944.52468108756,13975.441935703986,9844.967969380761,12889.124690878301
17915.500006541024,13204.835837827743,12607.635970303028,14888.108504172604,15719.156462411329,12437.47806666501,16117.58735320319,7915.410992002374,14340.390835727,14874.457367356054,9808.285061820192,13905.843076645855
18606.420182619313,13272.665401545355,12543.994120925066,15068.24174298288,16032.740892152,12708.088540136028,16599.936101359253,8408.973303669614,14613.063986387444,15615.680046659287,10489.831836806725,13738.18311127574
17964.433560991398,12696.991470807287,12672.059155386716,15499.671557650916,16486.61628743406,12067.000765384893,15993.283735588577,8228.506467006573,14127.7987355828,15714.922124457737,10368.381691524895,13232.628455520702
17990.256611986748,13371.13342110785,12981.212781198432,16227.531052315166,16976.511992446573,12111.132974089425,16124.856161617961,8342.078933815144,15148.219140566613,15745.8593576444,10711.11511248259,14221.802048582778
17942.36323250725,12635.288860399321,12864.910803236022,16182.849033409333,17198.803160487634,12109.45954017914,16276.471129592477,8237.527087125707,15035.68406390437,15786.728809916855,10985.699987337754,13762.491638563637
18348.475956563947,11871.949770225992,13057.881813031196,16461.095794551988,16529.31017393552,12181.060720013142,15852.574178263141,7890.45652620592,15114.70324153354,15776.260373420382,11337.767040432152,13032.362635323017
18577.900708468984,12063.487538247631,13701.89363860861,16768.487368698243,17522.62712421496,12402.581533887334,16292.174766399192,7978.089133626405,15185.510203470085,15676.783447338494,11087.7586772536,13080.417161135381
18874.7777192635,12029.560074431562,13811.20851411431,16702.29969789057,17784.963580336414,12468.373743166745,16397.55670258369,8116.124502733585,15807.836951361518,15797.432724799484,11137.313718862924,13304.943471779045
19606.582643407393,12853.248633230878,13720.081432684145,16685.806191295178,18158.57848782281,13028.807269323135,17649.653412118078,8362.942805556264,16120.759859513422,15853.008864460526,11268.70779897892,14082.188133199526
18990.164733413712,12458.389068614,13741.612696860571,16075.312144443506,17973.96437047336,12841.341175257538,17087.36255812607,8372.918813854078,16284.037347007881,15698.796085695718,10936.927613867589,14018.361347566139
18728.535933192717,11741.798209307635,13497.617899691735,15839.502566740346,18306.21064753242,12553.640127042658,16701.819844398477,8388.95235377516,16551.600337216994,16150.918277716664,10924.816916855007,14247.014301951633
18481.922890755464,11587.386064143035,13215.620522477182,15812.96855661355,19032.38973688343,12685.431662167959,17006.4431962005,8698.86088695087,15832.6805869333,15381.133222360546,10528.483791899152,13608.008473035296
19249.000059934035,12517.382536253104,13087.116913704422,15727.623361351174,19592.644578637122,12895.600862328065,17151.712793493793,9072.623961022553,16317.781223801781,15766.24237035064,10534.423055689334,14561.904812358347
19255.81550295761,12631.879443008438,13375.425711971864,16061.06059682891,19342.417367959966,13146.59325947567,17661.363700260823,8708.983036720412,16194.033126317117,16188.470239193339,10615.224103740771,15058.485477178814
19763.49512176497,13167.484752828654,13790.953888512033,16210.152111170411,19066.91952652804,13053.195821360785,18014.481120877033,9265.952974128078,16891.689825154524,16877.81701202349,10628.493268566695,15894.502460577882
20455.76639964076,13027.802401270963,14419.901083672907,16850.926398318457,20093.98942991065,13561.58315050069,18137.47737872288,9573.216497771871,17105.819422102646,16879.944598848866,10846.216262147274,15571.206106123604
20450.036158173527,13466.228639548799,14645.79314445437,17320.702380239483,20193.428471364074,13859.775556743465,17839.29997398535,9382.420747420518,17060.33832084518,17308.339102936356,10865.20940554884,15646.791511301826
21410.909272343,13541.444036828403,14787.952800209458,17344.076178751086,20315.853016621146,13929.45080730992,18129.960925941883,9618.144638747402,17641.894143787275,16971.292299757308,10902.468710101457,16084.298850918396
21679.822035463305,13020.419657494922,14292.110553568511,17736.1568479576,19201.213007773164,13762.606582979844,17734.942451558934,9357.79720463169,16850.45515621341,16685.819403821388,10919.5832211856,15177.380883949909
21892.423577258774,12987.770534971074,14283.735183108887,17711.220333300993,19351.3310990933,13796.464014248844,17572.84262875254,9451.231254311637,16816.457296088975,16636.22356903077,11274.455616788733,15532.511110263575
21636.96828698485,12796.5977767376,15316.047235107057,18542.02754574854,19535.022663245818,14648.469496540638,17342.33567895443,9687.714922989579,18011.115942162713,16857.298977306837,11924.291131334969,15281.927150621006
22596.780234059144,12945.39499685257,15964.559596526818,19000.443371021396,20145.456251902706,14986.435199566034,17709.462124229565,10075.712039692457,18245.67218807154,17137.26396537942,12024.79633595455,15131.620060780931
22818.296431308445,13738.34890139663,16229.98703313118,19130.694166565772,19572.39570470495,15115.572318097995,18761.32404319272,10100.043767248098,18355.457406751255,17355.29435727671,12390.306658070695,14854.532961333114
23331.5998097931,14553.388964852533,16679.49231160745,19434.387103303223,20311.36259248138,15634.606919025566,19466.758802626566,10295.19739008745,19093.758170880697,17752.185165836534,13172.405629794841,14824.39678084535
23792.485549660523,14984.813056420877,17325.145891157623,20006.629122428716,19930.81630183349,15675.233555475455,19358.871915036747,10662.747652724935,19464.73910743842,17774.45101547061,13379.526204051885,15537.200094241194
24099.62831770637,15164.521140822759,17545.213749759463,19866.143006832175,20813.592269187382,16362.681710358658,19580.691196740332,10864.457278406366,19771.81577870913,18234.88633264319,13545.112975526317,15653.073817751201
24075.085177826113,16113.657453416865,18220.619313603576,20366.64534580717,21240.35630155436,16461.911536425512,20094.849124401655,10950.991810036925,19535.269380673923,19019.821307640734,13874.610817066692,16098.252912502192
25332.543238451974,15958.572980052437,18044.325093745872,20815.44429541925,21512.86271400989,16475.517165637815,20795.698932895895,10738.332223378902,19518.767064587522,18891.233366070323,13819.43840996353,16111.877427776428
25591.186593516722,16202.357737262128,17949.07847867984,20858.182071597817,21850.484240641188,16835.00746086774,21000.294475660976,10637.77717684603,20070.493839036324,19324.728371608406,14119.477821571149,16653.737868647175
26441.80846238166,16934.81547752181,17905.94621708181,21018.32412814377,22233.010692144133,17219.73370245299,22042.344935312034,10841.480903268994,20505.199774060442,19285.65552220647,15319.637206755744,17412.698290305074
27581.595322346235,17668.86736286769,18586.811781549866,21370.84253046002,22809.920838264996,17505.386638399483,22995.918283993193,11182.934083910943,21476.786867446033,19431.96483259924,15406.287286409673,19039.153438515037
26583.95374187658,17823.79559451863,17849.158470866343,20540.069574340283,22730.62609922268,17061.499800339385,22454.702511743304,10898.001387293432,20863.00156311955,18613.781677699517,14919.896901580876,18865.683428426357
25872.41777856473,17319.35926140281,17915.7542823699,20024.1652242835,22709.156814127047,16360.686014233628,21763.99772979787,10175.702164169912,20224.78528012942,17565.946246378433,14246.12162542085,18310.179242462396
27412.264329178415,17070.18647088799,18414.44757836333,20093.041755325616,23582.59105893264,16280.581528475852,22169.59870469341,10238.047152168088,20186.763817138708,18250.47561390649,14591.506646417381,18059.690413865486
28475.239789385105,17401.199205878893,19337.74512799755,21154.325149034637,24959.959427890168,17618.982127757386,22517.92389377085,10211.589429573678,21093.975904823204,17845.294003834093,15215.591441173176,18875.457530652566
29013.46933796012,18062.767572004694,19643.090137656658,20987.530827426297,24370.47609417796,18415.96400622262,23321.462322797983,10986.728184910797,20774.76004482621,18575.00695689657,16283.746443544309,18725.152439205445
29907.29938754717,16638.561543232794,19621.07158431135,20675.528639205295,24695.423552456417,18193.701843654122,22654.650759532527,10601.585396076256,19864.406431517968,18348.02199528353,16542.686557873523,18186.01652433427
30311.581537517945,17180.9852727889,18930.500164372224,20037.797673759993,24555.644645631244,18158.72547332475,21516.410379059133,10286.248221707076,19482.14013377133,17760.49153988764,16262.888074534752,18706.584653876736
28490.239118549827,16554.480443268993,18339.452425597123,19387.370162633877,22532.991255510697,17566.54754167863,21390.4330638559,9894.747379409442,18985.98303753054,17203.996523687318,14524.37884049891,17069.296519114316
28027.99497527645,16793.281145157685,17601.660773153013,18952.88578181962,22493.965847323965,16818.030939769156,20731.09985423818,9281.969640501587,17965.493460371465,16690.644460370742,13982.012744161746,17723.796114826226
28332.455619150536,16729.96073204869,16149.908804802122,18800.2318708845,22442.01731286103,16159.661247084154,20695.346348729934,9429.181521159957,17674.283618828944,16324.43524332454,14133.325076386558,16983.590064299424
29417.620211095586,17404.636339110926,17897.890902534757,19763.40265750654,23830.15613840365,16796.770976288404,21970.601736312048,9699.911727600904,18946.9158074169,16679.68463377105,14699.599957060094,17483.975424215932
28805.920965564706,18659.59911180183,18628.960115494,20382.864017284017,24500.68773203686,16937.6199481864,22934.772239018585,9762.312193233105,17768.758685381756,17492.10360903167,15204.550444000248,18711.087070904734
26782.070565786427,17184.78534057973,17107.207075697417,18621.77549239549,23436.01555001756,15868.024134770543,21418.113949165723,8952.261456346394,15801.194244405071,16011.271133346896,14863.811007969081,16775.290723284583
26228.36388904354,17880.730941900496,17717.077096724384,19374.190759630146,23385.669625375464,16025.428357281586,21174.3973904385,9451.29493486431,14718.17704705383,16834.76353372531,14169.038628523094,15656.949323827721
26220.481194251075,18005.200155872786,19168.150853029496,20404.74439680229,23309.274729794368,16240.120269811614,21969.24242317974,9776.151020682872,14739.325647591819,17060.451023832975,14299.600852060903,15687.842367367179
22937.110790043163,15461.263399640755,17956.693461525534,19801.583557590246,19989.611058598286,16046.20929545217,19620.710073395516,9511.385919119533,14028.294297455112,16046.83143015534,13189.108650988574,12992.347210745866
20385.12227303939,13188.615937300403,14208.988841654455,16741.786980032743,17479.013828496936,14018.244603500207,17038.757122614647,8098.617063828662,13243.836419263802,13899.40834120163,11875.625096406482,9275.942199387167
18668.621976563663,11660.430218106607,13446.450076613077,15419.834962949559,16761.131293262795,13571.505817639845,15266.62962391846,7021.442094757173,13132.777455700338,12590.518024409974,11943.181139162976,9378.801171985826
18647.740213030513,13512.997346012216,13976.551662064481,16044.843821217532,17238.63889544151,12678.194715707761,15101.857000378373,6860.025996991997,12398.771570811523,12982.123981467654,12354.375441371869,9807.404341878204
17672.802147403047,12943.982826324054,13883.165736648716,16038.307530822196,16099.301622172212,12408.158150473086,13708.69418690951,5234.752259210618,11427.572877869938,13168.79659162319,11707.394091719892,8376.906459807105
15232.020093417997,12774.991918134509,11133.142493405252,13513.708610968666,15164.804922237541,10704.072474685157,11857.513817479934,4544.743717417887,9937.745570297722,11633.774562309614,10101.782273766847,6744.592296824849
15707.872343241314,14014.039849015535,11882.463047671516,14342.565631593852,16638.380867605443,11780.524337852767,12869.989125561548,4898.987227008712,10390.185521754167,12420.982677859758,10757.337923326973,7581.501411855195
17285.20755734729,14946.115378141378,13102.909384867437,15157.968021848737,18631.07198808765,12342.787333012875,14968.194450569501,6060.339467930417,10526.82779453641,12872.333084069202,10278.555045356798,8601.29947198499
18063.248738114733,14559.877054188852,13771.308585257686,16110.559944520439,17673.104586161076,12736.45198304527,15035.126501677836,6571.879986882094,10780.72436283483,13406.754702007618,11240.412504041633,8864.90695850041
18551.34574728464,14566.147936184392,13599.694225343574,16497.12979042711,18023.846489663214,13187.452371228064,15621.424738535872,6333.759296267867,10973.022647036183,13240.197850992385,11699.181406912809,8840.02074482707
19340.379461548968,15324.531932015485,13298.442950831439,16731.567676775074,19641.658959244352,13918.096524255201,16837.73996767395,6326.425671128896,11462.32826571905,14159.150632701665,12420.802849675249,10171.054933352558
19441.295144095722,15177.064564997338,13676.77666565905,16829.407017735626,20418.324358795795,14386.553308182401,17743.639044974887,7026.270267914412,11802.22241486585,14489.775429006897,12526.745916303727,10320.923243970165
19824.977403043005,15484.953157461487,14060.348246982838,17428.031639248966,20935.85947873106,14955.755982322997,17714.448981060992,7778.53000380655,12009.93312436736,14126.257470672197,12670.857747404958,10689.745252218965
19911.977626959,14830.746183307318,12944.077016320263,16192.870055288668,20579.501059336846,14394.866120251829,17242.35076474585,7869.836907160904,11767.714805972773,15169.806403236116,12332.785560199743,11131.227206890851
21639.54240819825,15826.949574232107,14200.361988649873,17026.056644276276,21554.272489571656,14750.328137797478,17948.104171476098,8509.612538051784,12431.256025586206,16239.655283046484,13282.38869163003,11717.669268266363
21739.997861237192,16993.38693573937,14502.153344334032,17003.16753357839,21490.468278516142,15365.756754369108,18627.298485907806,8258.251293383506,11890.360372908253,16745.11269942903,13749.561542261914,12417.63283152995
21157.637999639177,16065.018550244762,14051.54653364825,16852.180546014486,20886.46371963525,15171.681979561661,18138.33594135888,8034.439694910574,11589.224060199964,16263.055857656052,13379.86800650728,11531.975578657773
21668.73705295522,17029.100065254435,14445.09193730863,17525.935962632884,20320.859873710684,15004.025547676809,18623.172589559923,7887.953340820128,11633.23868494032,16532.39038281967,13266.74365656396,12042.986035701366
22584.19834575976,17753.662526199772,15377.763476838869,18559.51108636752,21556.889374799408,15732.509597462582,19491.35325850064,8495.108194860002,12322.21671792998,17358.816721469626,14045.990385174717,12716.896550040392
23020.659825059545,18183.58696479258,15680.590497745923,19284.64380348792,21751.01020531928,16184.706214250476,20319.987027111907,9208.299443976313,12866.93103110381,17801.33191742052,13791.21074341032,13029.23186997113
21933.05702830012,17834.655362046822,14934.877795369957,18532.324375521526,20030.481846568484,15114.827814728395,18893.78340638742,8265.295585751515,11751.43353722888,17262.32531206726,12754.854350995862,11790.89834192017
21233.788451715223,17413.880609748507,14151.392801366806,18238.603625783875,18737.827208561117,14340.826047115295,18102.162945743457,7574.2354513745395,11080.02965902223,16706.557254370986,12867.381118600837,11077.118907830742
23114.593648756734,18775.59760841344,14997.873276613493,18489.57489727678,20258.368342807807,15190.475229629117,19463.19120511615,8226.846059556594,11726.975100907881,17202.19965077277,13221.35924550407,12541.83581916135
22607.037472767282,18242.93797139412,14661.537814602554,17982.553069196998,20024.02985206629,14884.05530888354,18840.08334411865,7373.526150035794,11474.08103412085,16568.220543619587,13380.796409696028,12034.038363224925
23737.29550552534,20101.0250249604,15429.087567058674,18420.15804457559,22217.936126430002,15934.375449579145,20210.600951949473,7899.691789363052,12254.437292736764,17787.187011609916,13915.585198588302,13818.412027565531
24388.326538273966,21141.250625451074,15866.311429207182,18905.612180190376,22745.926074659994,15968.707416812698,20902.899902873185,8141.943045272171,12855.181463895233,18037.489374274115,13972.70537636365,14242.630129457593
