Portifolio 1,Portifolio 2,Portifolio 3,Portifolio 4,Portifolio 5,Portifolio 6,Portifolio 7,Portifolio 8,Portifolio 9,Portifolio 10,Portifolio 11,Portifolio 12
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.000000000002,10000.0,10000.0,10000.0
8925.492144852351,9517.335808603464,9893.835124290687,8972.994733429185,11863.214976464496,10228.104754158629,9129.150826337493,8863.771989022616,8850.04147146997,9076.700091337225,9064.425960992454,10517.437108900274
10486.577797094775,10503.96123675444,10828.861426631169,10117.192566050995,11165.411339847578,10351.94088283705,10740.232889092245,10556.766564260666,10078.090078404095,10831.393484948707,10320.197637675301,11337.668034441947
10611.410336304596,10526.795631434898,10681.994659092888,9506.58057834033,11364.486509719389,9911.917028075328,10623.33863740041,10589.944189703367,10287.554194722095,10900.533822575046,10403.097824301878,11193.450197534494
11013.990858849636,10516.25171404008,10764.06265597078,10098.01841984208,10827.12239372583,10187.915928157583,10703.354309816566,10766.911127120018,10809.215812764896,11234.60019097868,10918.356445086116,10745.712700211145
10519.890173486583,9819.320039152999,10692.343330324458,9885.031683670057,9531.785690314828,9053.78654599716,10133.818240339853,11152.445375413123,10079.364647087537,11003.79253860796,10574.402539995926,10660.11444455396
11502.069309451972,9837.253890955164,11674.336971919693,10108.19020034662,9562.875684081888,9047.707684115107,10194.572019698935,12210.372369245664,11074.322166350154,11404.56723330997,11871.311005766473,10664.960737011326
12307.191359680468,10192.527191131405,12910.489503327915,10398.334013383153,11410.927483358762,10171.793550746861,10509.813619790504,12586.331581414179,11981.982367794371,11579.172752734035,12973.065790812607,11844.666694619695
12869.153724057314,9585.80817184689,12714.637882761876,10484.57484467949,11212.030513465104,10011.173470146881,9899.345023313033,13387.037612824033,11978.405495520505,11744.11868588364,12725.990530151525,12000.666085990528
12897.97033171433,10076.32734604588,12411.41281450822,11488.41868179872,10741.290678180692,10192.448753302291,10617.597157999768,13728.799372903268,11631.691335734607,12527.169857800161,12485.721749792869,12121.499499486572
