Portifolio 1,Portifolio 2,Portifolio 3,Portifolio 4,Portifolio 5,Portifolio 6,Portifolio 7,Portifolio 8,Portifolio 9,Portifolio 10,Portifolio 11,Portifolio 12
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
9255.626910772253,8539.658988528814,9199.11157796288,9587.922333270324,9413.655175215514,9286.723636324048,8823.193857418428,12058.124840629434,9594.567595891307,10155.464447589946,9240.60216225949,11276.610909593093
10421.498628963665,10509.997163964583,10901.017297465358,10805.536317070822,10664.38066296438,10698.515039235566,9958.196953707438,10723.661615251083,10806.641530556517,11734.413143613689,10508.846441786261,12318.851126484355
10365.279888913732,10470.528705091394,10663.805521569515,10628.219833015362,10813.600577588883,10478.862998217064,10815.222737975377,10459.556479247995,10120.07524250411,11626.640466201516,10345.67913454371,12029.52843667971
10548.283367978596,10761.890463516153,11326.448051512192,10345.840392902493,10313.251505980968,10973.988896672905,11659.680907592588,9948.176803266428,10540.283193365285,11578.443371273283,11333.097495073183,11515.888741144123
10692.9774644357,11183.776015353966,10620.070070156298,10589.861478108292,10586.534526315489,11074.014302320948,10979.378375913548,9212.409420134532,10036.694578235943,11296.383813166964,10263.54969917939,11920.670512901987
11002.01639495117,12359.947075224054,11289.96531858722,10659.401535450106,10742.31406070271,11167.366459381461,10962.036852505904,9219.830026900117,9873.87705101458,11276.81586708583,10710.30059994543,11505.054414162521
11761.103482710132,12603.30221652508,12034.551775330068,10968.776689700782,10310.344821530614,12527.265355743424,11800.225000332994,10611.11253707176,10241.547028374614,11931.104104188324,11587.902210338898,12293.435005290788
11516.405604115294,13375.127274835117,12177.224185642464,10316.565420281908,10501.011452512348,13240.605339813636,11816.417003880802,10765.774521699495,10281.757880424264,12161.954647266795,11628.648079849303,11134.168028154529
11186.000971493859,13733.145870567576,12462.609868713947,10494.729767516012,10654.529162505709,13765.296036562075,12324.54792334459,10949.521234426113,10902.967660870665,12364.054315898537,11582.152654961366,10733.739319774382
10705.435114416054,13525.835796269545,11753.252461834607,10126.466488443586,10510.861358331633,12671.791558011746,12714.984198240987,8792.382558293357,10393.612756086794,11265.165004874958,11106.830770267057,8938.634318295375
10352.872675040322,13795.96975667979,12790.320784847407,10611.897551432032,10604.567495718944,13240.761544813358,13751.326547550078,9744.488149975077,11722.574109381023,11752.075687998231,12241.963609954242,9237.195963080007
11548.108974474495,12049.958626442565,12234.535444448044,10132.285218592753,10256.57608441438,12411.929146228693,12843.320358113324,9537.728631832599,11809.610046180751,11384.538066526957,12547.342878095486,9301.417610985318
11038.78183046433,11589.402655723305,12225.500935923561,9681.59057957389,9781.719362107186,11536.162621048035,13177.80367819022,8330.944872387478,11420.841766551774,10822.585128214907,12114.698695543499,8213.568972337845
10799.475345868283,11378.33621969007,11856.782056396045,9151.235080676137,9518.885892556997,10485.401008435365,12614.703897343854,7622.132495050358,10868.453382460984,10278.06216208651,11962.257754177634,7661.748181022198
11784.283949396731,11658.259641873126,12219.492978565191,9907.810534915463,10470.913179105719,11235.498185645543,13334.456007378956,8550.034534464674,11507.340793015343,11329.742637439642,12271.160287225766,8638.433718430511
11772.77219883314,11588.521594414655,12611.421817031825,10028.300349101812,10762.334778378725,11583.75319771436,13444.616644458752,8522.249807489052,11643.363849379626,11456.163705783749,12708.439874742602,8490.999789235248
11812.0742899447,12017.783492363324,12007.122617097388,9586.658364622186,10067.882971062587,10202.319842624325,12714.6688137516,8258.64911894365,10358.694518540722,11364.139704771556,11768.563506118238,8359.797554711815
11576.269430732611,11809.22535073371,12171.226666944056,9973.170156682889,10268.358370204509,10302.714602007107,13251.541707288667,7997.97655323494,10430.3235269763,10861.370363443839,11821.323905857644,8684.931244629004
11242.408430635936,11158.380490032998,11852.302622201822,9739.438628495127,9842.791184275553,9918.462695334032,13025.579412505565,7979.69207193602,9949.840490870223,10451.127128509188,11801.46154207381,8359.001442056177
10549.95070218421,11119.704970822402,11571.54899188637,9018.737383265443,9047.18780772314,9057.161632141177,13320.611250428687,7109.658150145751,8819.748585908941,9778.986389681932,11148.396095839098,7055.210158381838
11214.118815970987,11178.89795982293,11091.861803801281,9638.457728253894,8967.572025062007,9368.08336107489,13224.718013391977,7368.250438059362,9047.30291968917,9828.929058777643,10772.411396010304,7671.201848007806
11930.366008281193,11727.917276650693,11734.509357166167,10113.98416933823,9760.572546430365,9986.800845640646,13386.100599975729,7864.144016131042,9981.923082981464,10568.067669381402,10912.804695422332,8427.979360600666
12219.669525108124,11376.27877122622,12112.09371030223,10350.226359685446,9856.222609785083,10878.594258370615,14028.527314081592,8275.839156206688,10514.787083193914,10404.376547934942,10775.23949207986,8551.47304291223
11960.325922639726,10749.748706782832,12187.105724508394,10385.62338327755,10069.717815621872,10641.696839541273,14537.866329181352,7855.079744882546,10531.230397905043,10517.773006187565,10762.178690474091,8861.249659319743
12072.172130061192,10736.745208625576,12659.510350244067,10403.197294125575,10282.88965281356,10189.998236617512,14917.549818595613,8218.615606074904,10322.632000142774,10661.145937628782,10856.127829043598,8629.4199927725
12717.009550833049,10542.522706287335,13548.85634260041,10916.649259417969,10691.298720802692,10905.079027421269,15723.161811743385,8578.428296761103,11312.056807001296,11383.48965665495,11779.202510256624,9339.748477886069
11997.096125745084,10158.340706076217,13180.326822148996,10641.489860805073,10131.668667612767,10300.271233026187,15803.771326724467,8511.918736639987,10922.368645236676,10937.480780754158,11666.994857075073,9043.97827344013
11981.732457233898,9887.357872586683,13211.169975349087,10515.878961067154,9824.67773604638,10425.329714734678,15816.478904503663,8310.796403631712,10719.665371871693,10820.400317213569,11949.739216194152,9184.071456001253
11271.689042946242,9962.472296838572,12343.085516979289,9858.758937378543,8994.887834407915,9465.859237002893,15521.998997936073,7897.784610560739,9514.194695828142,10174.687506894528,11076.171619063183,8265.908229929772
10630.383153363951,9240.58003171712,11659.292441879064,9066.93795230362,8347.102401865423,8549.689558534192,14121.284214364114,7489.960453188948,8598.910906424373,8814.520642274058,9742.998173971155,7538.906952195465
10597.287668894234,9091.531685367361,11742.510973670282,9136.667633779256,8332.266522948346,8756.442630662521,14447.441411118256,7648.844786265457,8579.037301926144,8816.36274665884,10231.566404186477,7549.238942665373
9960.342050331996,7997.661191212883,10592.948352764335,8303.049659706494,7664.46848722393,8105.665342791666,14088.959326986838,6946.302324312411,7782.722779832381,7976.770808047791,9403.469690136104,6746.8632846698865
11070.33984629009,9002.697720744,10432.594387048137,8928.705191128452,8509.04679193345,8147.805532182111,13692.92014141763,7539.030576185374,7898.962883240946,8479.40159294073,9485.783664238314,7489.288476152428
11277.749907260066,9409.542214349767,10934.411302282955,9328.00999992218,9061.924818998286,8667.79521256509,13686.350441469272,7938.4330773714855,8463.06069415564,9169.967343507002,9934.312546371937,7911.804396503353
10878.114589283794,8442.414575349529,10467.080454136418,8945.420582667242,8492.617646231405,8189.862263335465,13366.789699820667,7652.235869989688,8057.497156870526,8752.100597779594,9950.007503944642,7518.377842372356
10767.530037313594,7892.560367638802,10043.954850632987,8793.270525978907,8107.365043251576,7859.892026368085,12969.213265589047,7450.916505161865,7701.54529139931,8399.099600027193,9843.37358879455,7319.155292376127
10523.770781284267,7240.960503072144,9988.615891868923,8639.113066202366,7909.969841473447,7534.3914042944025,12787.642264088983,7216.309996966574,7547.641419623183,8135.911223402528,9887.942413885658,7236.485489161104
10875.870832651082,7270.850805477639,9685.952477861341,8917.934015903496,7856.9877258365905,7479.937702544885,12953.002802002678,7454.414379621185,7652.303705084676,8356.046832420874,9726.064926581668,7354.774659047059
11697.11098968325,8394.045999270913,10696.506497506869,9414.491614947683,8534.51136624942,8159.027530883828,13324.435572082271,7724.899140165457,8302.519737219778,9248.997663630817,10531.389554464124,8005.548287494634
12197.060006101605,8470.860971678321,11437.062471653184,9681.56502900274,8862.358606530066,8841.280414400142,13833.23265076451,8152.786002507489,9040.284991607034,9824.307090522936,11415.705808757959,8386.66577711148
12229.130663551658,8115.980796621853,11612.956889785954,9625.795200500777,9283.736372012478,8935.074744008307,13943.992644160782,8045.808784853142,9099.743812627408,9997.016501919497,11600.340393261571,8343.10631284718
12036.136615194768,9318.626007063147,11524.943158797621,10057.987671727366,9268.54462610332,9409.050668028909,14301.460718034034,8155.379728357786,9119.478898818095,10210.94455592317,12069.418411828996,8778.688544489925
12364.412118699269,8757.868235806076,11815.857637969413,10145.35510694797,9525.998549407015,9793.176774918997,14930.741946889768,8516.942235378003,9692.664057056483,10578.423371212226,12260.759184917524,8983.59591659109
12393.252492914651,8470.199413252623,11684.576625006204,10033.378608945413,9179.112203011611,9519.818121469305,14433.932708461141,8455.912950485508,9421.245096444847,10302.935694657064,12089.989307396258,8856.659925140588
13300.42865900497,8968.29230130343,11628.530942196901,10810.41282799513,9830.370517913016,10039.865009771926,15143.508441768836,9149.86113491245,9844.876394693081,10710.703706744865,13009.736999364173,9434.808501877409
13498.00320008088,8598.142076551401,11778.088389274717,11018.371609068021,9879.365268043248,9928.947019286901,15342.095349274434,9147.400235597208,9714.958336095142,10841.185119594991,13312.603146718373,9745.178068138941
13488.403733029252,9720.9623909419,12773.461510346817,11671.457231102819,10068.154261611286,10505.561588471985,16613.926461148938,9520.650077268596,10332.902174181283,11302.533950034609,13802.076095686783,10114.645438547084
13957.203856904529,10182.14037256304,13067.831899720637,11503.003133658853,10260.005406877155,10848.328434903211,16441.36793604442,9735.890315142971,10632.059555400449,11373.29819354363,13863.796942063624,10409.353308995322
14200.246491360096,10814.127522890349,13684.87718525328,11962.673520668404,10492.759657952112,11033.011594664347,17006.301346061817,9831.828609164433,11203.43004374166,11830.531288878998,14443.76648187841,10570.201698167515
14378.949579450464,10466.904038370432,13722.586050314962,12010.633766801657,10413.358848828455,10864.246550551577,16844.616089637704,9872.110254349009,11247.698968822619,11798.831936988456,14599.558743694331,10408.996633062883
14344.116455898791,10491.656087408795,13865.671813717998,12022.195702025896,10622.528302643857,10461.790180818742,17100.27490907003,9887.678926735593,11017.126509046277,11767.17496740819,13780.344397651666,10081.7636301038
