FLCSX,HAIAX,DFUSX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
8176.507350355298,9554.342442469651,8924.370376575474,10562.09992567745,9925.958471131695,8907.473275751574,10685.108605445568,7583.0106503756115,10121.35816966924,8502.201032016354
7593.539415045517,9035.701921971062,8336.761799693268,10198.226957769206,9276.188311359356,8379.624749953537,10240.802383894177,7034.744509391632,9532.767711919243,8064.066276702527
8226.332405521092,9765.044157346294,8988.641278893028,10888.72811768434,9884.927343595367,8945.176420829126,11175.484967978675,7575.287154619277,10175.9706460483,8620.616253894359
8211.38203183738,9846.080685141544,9043.728553974834,11002.674199756315,9938.302178552778,8982.881813262833,10925.961696107579,7621.619422811864,10206.312166768936,8585.092000457917
8071.869860572702,9619.175517625275,8805.014174857843,10997.717779056466,9635.013643144162,8737.809122902589,10260.573290717111,7343.628232085631,9781.55461631994,8561.408956082316
7847.653750992539,9432.78957723649,8713.197659317657,11226.721251334317,9567.07570047644,8718.954553888942,9759.27671866364,7289.572951822567,9648.058707903401,8608.7744185796
7299.563018165406,8873.627903150706,8162.30976160634,10963.096151981876,9123.052516265087,8191.105278972185,9561.350625467981,6841.697745095233,9192.960767192812,7945.649176062771
6537.219169990816,8136.185867915372,7482.881376381067,10401.011161416794,8793.071855273633,7568.995894005395,8967.571669790766,6262.545843745478,8513.350834346602,7495.672585434185
6796.315003054192,8395.506609779595,7620.606149691345,10923.978377215863,8902.254673405407,7729.235384263068,8966.041677582707,6401.542648323236,8707.525827597761,7649.613313256467
7284.61600581578,8987.080968523767,8208.219995058162,11209.082204759305,9309.88044617008,8275.936980837318,8919.984382315508,6880.307484903197,9362.865935244592,8229.8463348239
7254.717779448922,9068.11942277873,8244.943308471355,11484.38724085204,9224.963196749977,8257.087655654695,9119.568924864401,6942.080940378173,9478.155800769706,7993.01589106789
7199.178456335892,8857.420597591656,8125.58578963257,11756.207643681892,9307.04428423917,8143.977471303322,8872.679700559633,6841.697745095233,9144.417725416924,8159.297578576705
7044.303307628372,8598.098892497575,7969.497054653678,11534.2026292858,9285.048021720555,7974.309572860747,8864.94590432985,6718.145029915003,9280.557212306087,7979.577108265023
7309.085677632767,8914.150019967756,8244.943308471355,11756.207643681892,9529.457006817147,8304.216212442278,9398.701568698374,6888.028078544392,9564.593525363656,8099.390755139478
6889.428579087611,8290.156233956202,7739.965644211858,11646.39112017959,9049.472381602009,7870.6255493381195,9234.587424383531,6501.928745721315,9076.791969761576,7596.173814019119
6824.479201199122,8209.118742931098,7684.876393448323,11603.81383029422,9100.81896529807,7814.070082603073,8985.21965326712,6463.318038541637,8971.824325760312,7608.15279894168
6359.854175243321,7520.298142757985,7115.625851189544,11083.392372285103,8457.749379330631,7220.237681885088,8525.439078353787,5992.276214032153,8317.305496608396,7104.93836283699
5880.242641262376,7001.65858548925,6564.737953478227,10667.814045359837,8082.650014792863,6645.257602824597,7588.522692123717,5559.843645644777,7656.614361080375,6721.535068591086
5860.259930284251,7042.177331001803,6601.464559694301,10683.529856783134,8112.040825665871,6701.81456779708,7808.933518356695,5606.176881209076,7724.535731775531,6757.478912151855
5295.717147770213,6272.317794958802,5866.946923705494,9672.289012346451,7257.240734592305,6042.00091407466,6911.53528261417,4972.970183282115,6983.574656193491,6134.44895041096
5680.405447478861,6831.479469044586,6381.110190882466,10893.094601445666,7869.564046506276,6541.573579301969,7251.480891154542,5420.848292124589,7440.501679636046,6721.535068591086
5975.167556201716,7220.459136996137,6775.910670736043,11886.722875188352,8049.971063991986,6937.461097328575,7458.664011885666,5737.4506737163565,7718.361729710859,7200.787777327153
5570.49528501466,6790.959278687249,6316.838630004336,11168.68883562334,7654.954064911196,6456.741128318118,7004.451716170557,5374.51505656029,7421.976282064905,6529.833108341176
