FLCSX,HAIAX,DFUSX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
10598.947868552308,9976.816986055997,9816.685712238532,10017.196425321343,9453.528727095907,9748.132091484462,9564.639627868964,9845.562930692151,9660.193055273568,9882.904914045705
10771.444854695374,11043.277046359959,10751.60464870008,10825.449460357015,10212.761950551558,10755.59548524195,9946.41982692218,10702.700950975039,10661.407846561437,10843.091257162858
10210.834691732814,10602.785332977452,10439.312589202029,10856.240233199575,10313.145274793547,10447.75867833304,10141.828239340639,10362.936689856186,10418.692637681997,10632.319225689587
9798.75939850256,10340.032628445004,10228.135262020178,11037.253128515904,10428.43633294981,10289.176262439021,10384.455489209291,10123.547914176692,10394.417160187402,10105.38664199059
10023.96211641076,10610.509472449654,10430.128961966282,11028.630137144393,10611.556073823414,10550.370697596476,9850.679325605122,10223.935975451968,10570.390067153789,10269.319887577394
10064.367042984919,10633.850456074844,10283.22517134429,10880.245033616564,10419.395835646188,10419.776101932868,9860.499540292256,10069.49697140013,10612.86480478555,10000.0
10801.392668289856,11350.565642230073,10925.925633232335,11377.548329178317,10747.195548470803,10988.803598406206,10551.853471714638,10710.425416344815,11419.902907133694,10409.837497744702
10079.306496099087,10665.013828608096,10319.951118999788,10728.885805919423,10401.314841038942,10410.445829697923,11201.305341473373,10015.445061251577,11007.281964972952,9882.904914045705
9755.609101621054,10618.270214652863,10274.044836911424,10745.667442410033,10857.966828785447,10335.819383309083,10966.374029903078,9969.11277961283,11007.281964972952,9742.389182640265
8784.533724861627,9387.39357635556,9466.076622732773,10198.393294079782,10414.876999424952,9561.56709919027,10783.603101335353,9196.910987749685,10418.692637681997,9039.813030628891
8839.30835827864,9910.909915959166,9484.436633037929,9329.704643876634,9707.28882915249,9440.297531931368,11008.552612586142,8061.777342890324,10722.086366166535,8793.910030978905
9033.52124876282,10397.134815275167,9814.970820497987,10862.044561354702,10355.091638024927,9850.06091457943,10714.242299616406,8347.490661232616,10910.19362050309,9366.631172679947
8176.507730986315,9554.342485396714,8924.373010817779,10562.101321574239,9925.951914648515,8907.472690319388,10685.1075311818,7583.01139999526,10121.360430587327,8502.200311962146
