FLCSX,PRCOX,HAIAX,DFUSX,VPMCX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
10598.942474231812,9946.488624816051,9976.817953751688,9816.676576901169,11538.335881025214,10017.200504372528,9453.52569640622,9748.134244501618,9564.632367482087,9845.560028576168,9660.194185732611,9882.903661537792
10771.435997573453,10996.656129321978,11043.27588214732,10751.599692294298,11922.510232058123,10825.45041941207,10212.762972308723,10755.599513851808,9946.415116025535,10702.701918347033,10661.406716102394,10843.091257162858
10210.824483713965,10628.76470508968,10602.783290394163,10439.301849717995,11871.285232286145,10856.243918182161,10313.150100842873,10447.760344283055,10141.828181807425,10362.93282036821,10418.691507222955,10632.317973181676
9798.749432880106,10354.517323618105,10340.03063647995,10228.130546929695,11304.025468208742,11037.248728512268,10428.444968906271,10289.180865466038,10384.455333253329,10123.551783664667,10394.417160187402,10105.38664199059
10023.952858649815,10709.030040243235,10610.510318067076,10430.122178077463,11752.55235504759,11028.628449689899,10611.558187406445,10550.377645812994,9850.675329636246,10223.939844939943,10570.390067153789,10269.323018847175
10064.358601789692,10622.074199537848,10633.850333966144,10283.225040779698,11562.917964650149,10880.25008448525,10419.402584956084,10419.779255639516,9860.498920790957,10069.495036656144,10612.86480478555,10000.0
10801.383793551637,11337.794745332914,11350.56056590123,10925.926523508395,12420.40589033265,11377.548117896738,10747.199596383687,10988.807714366363,10551.851219582277,10710.422514228832,11419.904037592736,10409.838750252615
10079.300567115693,10675.586726470043,10665.009847577589,10319.945703022639,11338.648769305822,10728.892163149603,10401.318758676447,10410.450478147603,11201.300797617458,10015.44312650759,11007.281964972952,9882.903661537792
9755.605043713715,10581.939228464582,10618.270095545631,10274.036149295349,11068.21462469635,10745.671768729419,10857.969976799406,10335.824003806723,10966.372285708972,9969.113746984824,11007.281964972952,9742.389182640265
8784.52939783989,9692.307001258745,9387.39176791253,9466.0716003851,10199.17929892088,10198.395398028373,10414.882805412097,9561.567684089974,10783.597374741606,9196.910987749685,10418.691507222955,9039.813030628891
8839.30567970312,8869.566008592272,9910.908969892429,9484.432919346978,9956.77264095277,9329.712562783503,9707.292485386282,9440.301067883955,11008.549499101644,8061.774440774343,10722.088627084622,8793.91065723286
9033.515934945099,10244.395218724478,10397.132812309612,9814.963661631995,10991.092815607502,10862.055036997683,10355.094596631803,9850.06460401276,10714.237277249395,8347.49162860461,10910.195881421176,9366.633051441815
